year,month,day,type,magnitude,umbral_magnitude,penumbral_magnitude,cat_num
-1814,1,24,N,0.2569,-0.7441,0.2569,457
-1814,6,21,N,0.4923,-0.5769,0.4923,458
-1814,7,21,Nb,0.0632,-0.9991,0.0632,459
-1814,12,16,P,0.7622,0.7622,1.7325,460
-1813,6,10,P,0.823,0.823,1.8804,461
-1813,12,5,T+,1.741,1.741,2.7428,462
-1812,5,30,T-,1.4109,1.4109,2.4185,463
-1812,11,24,P,0.3841,0.3841,1.4438,464
-1811,4,20,Ne,0.0508,-0.8934,0.0508,465
-1811,5,19,P,0.0767,0.0767,1.0338,466
-1811,10,14,N,0.0625,-1.042,0.0625,467
-1811,11,13,N,0.1482,-0.9551,0.1482,468
-1810,4,10,P,0.4102,0.4102,1.3601,469
-1810,10,3,P,0.2772,0.2772,1.3473,470
-1809,3,30,T+,1.7391,1.7391,2.734,471
-1809,9,22,T-,1.6669,1.6669,2.6772,472
-1808,3,18,P,0.5066,0.5066,1.5582,473
-1808,9,11,P,0.79,0.79,1.7571,474
-1807,2,6,N,0.2451,-0.838,0.2451,475
-1807,3,7,N,0.1827,-0.8975,0.1827,476
-1807,8,2,N,0.384,-0.5926,0.384,477
-1807,8,31,N,0.5072,-0.4594,0.5072,478
-1806,1,26,P,0.5746,0.5746,1.6158,479
-1806,7,23,P,0.6447,0.6447,1.6719,480
-1805,1,15,T-,1.7642,1.7642,2.7535,481
-1805,7,12,T+,1.6497,1.6497,2.7187,482
-1804,1,5,P,0.5341,0.5341,1.5,483
-1804,6,30,P,0.2761,0.2761,1.3437,484
-1804,11,25,N,0.4261,-0.5918,0.4261,485
-1804,12,25,N,0.2514,-0.7365,0.2514,486
-1803,5,20,N,0.8128,-0.1785,0.8128,487
-1803,6,19,Nb,0.0236,-0.9987,0.0236,488
-1803,11,14,P,0.5453,0.5453,1.6213,489
-1802,5,10,T,1.2998,1.2998,2.2477,490
-1802,11,3,T+,1.7621,1.7621,2.8692,491
